osmid,x,y,demand,start,end,service_dura,company
25316200,-0.2099213,51.4737616,1,0,24,0.16666666666666666,Amazon
96071468,-0.1569746,51.4846513,1,0,24,0.16666666666666666,Amazon
33203884,-0.2132699,51.4921003,1,0,24,0.16666666666666666,Amazon
2620430672,-0.1298184,51.5015306,1,0,24,0.16666666666666666,Amazon
1029416577,-0.2353968,51.5140428,1,0,24,0.16666666666666666,DHL
7528403151,-0.1546759,51.489668,1,0,24,0.16666666666666666,Royal Mail
224676,-0.2355199,51.5037457,1,0,24,0.16666666666666666,DHL
26592981,-0.162587,51.4947432,1,0,24,0.16666666666666666,DHL
102102,-0.1975511,51.5043176,1,0,24,0.16666666666666666,DPD
26596790,-0.2257014,51.5175718,1,0,24,0.16666666666666666,Royal Mail
276492247,-0.2327877,51.5040402,1,0,24,0.16666666666666666,DHL
7707253600,-0.1611357,51.5256372,1,0,24,0.16666666666666666,Royal Mail
197978,-0.1902412,51.4894801,1,0,24,0.16666666666666666,Royal Mail
8868969976,-0.2050607,51.5126498,1,0,24,0.16666666666666666,DHL
299218,-0.2127011,51.4734027,1,0,24,0.16666666666666666,Royal Mail
1377168610,-0.2026854,51.495574,1,0,24,0.16666666666666666,Amazon
1767962850,-0.2510185,51.5008966,1,0,24,0.16666666666666666,DHL
726067392,-0.18254,51.5292556,1,0,24,0.16666666666666666,Amazon
274596,-0.1712929,51.5261442,1,0,24,0.16666666666666666,Amazon
198014,-0.185443,51.483336,1,0,24,0.16666666666666666,DPD
95984585,-0.1606262,51.4911893,1,0,24,0.16666666666666666,Amazon
20961093,-0.2170945,51.4871148,1,0,24,0.16666666666666666,DPD
298917261,-0.1707971,51.5209081,1,0,24,0.16666666666666666,DHL
27511228,-0.1706621,51.4907928,1,0,24,0.16666666666666666,Royal Mail
26787867,-0.1873248,51.4849512,1,0,24,0.16666666666666666,DHL
1690265343,-0.1987805,51.5222321,1,0,24,0.16666666666666666,Royal Mail
37868246,-0.1595096,51.489731,1,0,24,0.16666666666666666,Royal Mail
301479890,-0.1772181,51.5319494,1,0,24,0.16666666666666666,DHL
33208350,-0.2166225,51.4911783,1,0,24,0.16666666666666666,DHL
1959070618,-0.2315319,51.4985961,1,0,24,0.16666666666666666,Amazon
