osmid,x,y,demand,start,end,service_dura,company
254757064,-0.2187252,51.5243009,1,14,15,0.08333333333333333,Amazon
20961222,-0.2054605,51.4854379,1,17,18,0.08333333333333333,Amazon
20960971,-0.2165592,51.4899912,1,12,13,0.08333333333333333,DPD
721105037,-0.1933641,51.4802062,1,11,12,0.08333333333333333,Amazon
1621753563,-0.2248253,51.4916911,1,13,14,0.08333333333333333,Royal Mail
20960758,-0.2185728,51.4726934,1,16,17,0.08333333333333333,Royal Mail
1678452778,-0.1251767,51.5113082,1,13,14,0.08333333333333333,DPD
20961316,-0.208409,51.4881007,1,13,14,0.08333333333333333,DPD
33207852,-0.2094156,51.4945271,1,9,10,0.08333333333333333,Amazon
26198768,-0.2428919,51.5155898,1,15,16,0.08333333333333333,Royal Mail
26389003,-0.1839378,51.493076,1,10,11,0.08333333333333333,DHL
1697599369,-0.2343886,51.5320249,1,14,15,0.08333333333333333,Royal Mail
197697,-0.1481105,51.5178603,1,15,16,0.08333333333333333,Amazon
666071188,-0.2065005,51.5020345,1,16,17,0.08333333333333333,DHL
21662687,-0.2169813,51.496385,1,13,14,0.08333333333333333,DHL
392509103,-0.2163958,51.5092524,1,13,14,0.08333333333333333,DPD
4840818593,-0.1338751,51.500494,1,11,12,0.08333333333333333,Royal Mail
7082134849,-0.1966536,51.5173238,1,12,13,0.08333333333333333,DPD
27334925,-0.176952,51.5214662,1,9,10,0.08333333333333333,Royal Mail
21496907,-0.2363063,51.4930564,1,14,15,0.08333333333333333,DPD
254756950,-0.2195857,51.524363,1,10,11,0.08333333333333333,Amazon
452168037,-0.1605475,51.5146608,1,11,12,0.08333333333333333,Royal Mail
1687077668,-0.1913564,51.525448,1,11,12,0.08333333333333333,Royal Mail
1687077889,-0.1924656,51.5269018,1,12,13,0.08333333333333333,Royal Mail
108275,-0.1400988,51.5020419,1,14,15,0.08333333333333333,DPD
68375869,-0.2402719,51.5006319,1,14,15,0.08333333333333333,Royal Mail
13565541,-0.2006444,51.4707557,1,11,12,0.08333333333333333,DHL
25317569,-0.1965328,51.4712864,1,10,11,0.08333333333333333,Royal Mail
1665707949,-0.1671402,51.5336626,1,11,12,0.08333333333333333,DHL
21662523,-0.228295,51.4977059,1,9,10,0.08333333333333333,DHL
11776200,-0.1916493,51.5016321,1,13,14,0.08333333333333333,DPD
24789289,-0.1437396,51.4889327,1,9,10,0.08333333333333333,Amazon
25473424,-0.1333511,51.5125964,1,11,12,0.08333333333333333,Amazon
489645,-0.1749324,51.5159599,1,12,13,0.08333333333333333,Royal Mail
107322,-0.1328665,51.5162463,1,13,14,0.08333333333333333,DHL
25291785,-0.1731753,51.493112,1,14,15,0.08333333333333333,DHL
25317907,-0.1949337,51.4755324,1,11,12,0.08333333333333333,DHL
25322215,-0.2047689,51.4797297,1,14,15,0.08333333333333333,Amazon
721496896,-0.2231167,51.4896646,1,16,17,0.08333333333333333,Amazon
1660745881,-0.2012624,51.5316774,1,13,14,0.08333333333333333,Royal Mail
1666324100,-0.1536619,51.5155395,1,15,16,0.08333333333333333,Royal Mail
38901513,-0.2022854,51.520468,1,9,10,0.08333333333333333,Amazon
1660745960,-0.1883947,51.5331093,1,17,18,0.08333333333333333,Amazon
25256268,-0.1574016,51.5128295,1,14,15,0.08333333333333333,Royal Mail
20960818,-0.1982888,51.4802069,1,13,14,0.08333333333333333,Amazon
21672597,-0.2331987,51.5027806,1,17,18,0.08333333333333333,Amazon
20961565,-0.2262704,51.4910837,1,10,11,0.08333333333333333,DPD
1687078056,-0.191718,51.5272606,1,11,12,0.08333333333333333,DPD
21153786,-0.2198198,51.5010894,1,16,17,0.08333333333333333,Amazon
332515538,-0.2021163,51.5198985,1,15,16,0.08333333333333333,Amazon
254756895,-0.2214799,51.5241575,1,12,13,0.08333333333333333,Amazon
25322260,-0.2070887,51.4808278,1,10,11,0.08333333333333333,DPD
1620664262,-0.185832,51.535357,1,13,14,0.08333333333333333,DPD
20961228,-0.205578,51.4860274,1,13,14,0.08333333333333333,Royal Mail
185714567,-0.2375516,51.5048539,1,11,12,0.08333333333333333,DHL
25323383,-0.2094996,51.4767452,1,11,12,0.08333333333333333,DPD
26788874,-0.198693,51.4917824,1,15,16,0.08333333333333333,DPD
33203884,-0.2132699,51.4921003,1,16,17,0.08333333333333333,DHL
26389341,-0.1717216,51.4937537,1,15,16,0.08333333333333333,DHL
2621444666,-0.1298074,51.4993303,1,12,13,0.08333333333333333,DPD
489643,-0.1720564,51.5175542,1,13,14,0.08333333333333333,Amazon
185721060,-0.2361978,51.497559,1,9,10,0.08333333333333333,Royal Mail
26788873,-0.1885503,51.4916147,1,15,16,0.08333333333333333,DHL
26198802,-0.2421482,51.5116037,1,9,10,0.08333333333333333,DPD
25276669,-0.1345095,51.4941626,1,11,12,0.08333333333333333,DPD
91800310,-0.1920538,51.5038394,1,9,10,0.08333333333333333,Royal Mail
20960914,-0.2264519,51.4890724,1,11,12,0.08333333333333333,Amazon
1674024682,-0.1809288,51.5234923,1,11,12,0.08333333333333333,DHL
