osmid,x,y,demand,start,end,service_dura,company
26592973,-0.1605676,51.4970454,1,15,16,0.08333333333333333,DPD
781620734,-0.2093223,51.5229712,1,16,17,0.08333333333333333,Royal Mail
94255921,-0.2056551,51.5127988,1,14,15,0.08333333333333333,DHL
666071197,-0.2068884,51.5025211,1,15,16,0.08333333333333333,Royal Mail
25277075,-0.1376602,51.495511,1,12,13,0.08333333333333333,Amazon
1694551474,-0.1530742,51.49505,1,14,15,0.08333333333333333,Royal Mail
104414,-0.1616433,51.5258922,1,13,14,0.08333333333333333,DPD
26592999,-0.164174,51.4965648,1,16,17,0.08333333333333333,DPD
254754681,-0.1995066,51.5183251,1,15,16,0.08333333333333333,DPD
301014780,-0.1725546,51.5358429,1,17,18,0.08333333333333333,DPD
1691695930,-0.1529808,51.4931967,1,10,11,0.08333333333333333,DHL
20961325,-0.2070871,51.4894248,1,9,10,0.08333333333333333,Royal Mail
108290,-0.1431749,51.4991555,1,12,13,0.08333333333333333,DPD
1619316122,-0.1507593,51.5212256,1,11,12,0.08333333333333333,DHL
21662515,-0.2277565,51.4956086,1,17,18,0.08333333333333333,Royal Mail
20960769,-0.2197028,51.4739847,1,17,18,0.08333333333333333,DHL
56472509,-0.154627,51.5373297,1,9,10,0.08333333333333333,Amazon
20961313,-0.2098673,51.4872823,1,10,11,0.08333333333333333,DPD
276492255,-0.2285606,51.5020397,1,9,10,0.08333333333333333,DPD
1920773076,-0.2100321,51.5033307,1,15,16,0.08333333333333333,DPD
6865222627,-0.198729,51.4678014,1,16,17,0.08333333333333333,Royal Mail
6010588340,-0.1678623,51.5009818,1,11,12,0.08333333333333333,Royal Mail
1674024791,-0.1813793,51.5238077,1,12,13,0.08333333333333333,Amazon
108263,-0.1361939,51.5098935,1,12,13,0.08333333333333333,Amazon
21662691,-0.2163305,51.497395,1,14,15,0.08333333333333333,Royal Mail
1233349627,-0.1462512,51.4889341,1,11,12,0.08333333333333333,DHL
109844,-0.1306644,51.4983506,1,10,11,0.08333333333333333,Royal Mail
21672553,-0.2206665,51.4987375,1,12,13,0.08333333333333333,Amazon
26389479,-0.1806962,51.4991931,1,17,18,0.08333333333333333,Royal Mail
26787826,-0.17791,51.4835516,1,9,10,0.08333333333333333,Amazon
24828673,-0.1407572,51.491578,1,11,12,0.08333333333333333,Royal Mail
1691189750,-0.1605785,51.4999409,1,16,17,0.08333333333333333,DHL
856374315,-0.2105078,51.5158785,1,9,10,0.08333333333333333,DHL
31017354,-0.2131618,51.5292617,1,9,10,0.08333333333333333,Amazon
2577705172,-0.1922079,51.5040599,1,13,14,0.08333333333333333,DPD
489645,-0.1749324,51.5159599,1,12,13,0.08333333333333333,DPD
26787666,-0.176449,51.4865486,1,14,15,0.08333333333333333,Amazon
21269085,-0.1278685,51.4925022,1,14,15,0.08333333333333333,DHL
18127062,-0.1950644,51.4876838,1,16,17,0.08333333333333333,DPD
254756951,-0.2191939,51.5236665,1,14,15,0.08333333333333333,Royal Mail
91796243,-0.1965506,51.5052707,1,12,13,0.08333333333333333,Royal Mail
26373920,-0.1997281,51.5074681,1,10,11,0.08333333333333333,DHL
195051,-0.207515,51.4695888,1,13,14,0.08333333333333333,DPD
185719070,-0.2358746,51.5010813,1,9,10,0.08333333333333333,DPD
21662688,-0.2178276,51.4956742,1,10,11,0.08333333333333333,Royal Mail
108357,-0.140872,51.49419,1,10,11,0.08333333333333333,Royal Mail
101870,-0.1673203,51.5296297,1,13,14,0.08333333333333333,DPD
771734997,-0.1610247,51.5358772,1,13,14,0.08333333333333333,DPD
254438495,-0.2026558,51.4985671,1,17,18,0.08333333333333333,DPD
21672634,-0.2346872,51.4985036,1,14,15,0.08333333333333333,Amazon
25317627,-0.1959669,51.4741423,1,15,16,0.08333333333333333,DPD
1188939750,-0.1348938,51.5118826,1,16,17,0.08333333333333333,Amazon
38901510,-0.2034018,51.5202347,1,10,11,0.08333333333333333,DPD
4840818592,-0.13424,51.500509,1,9,10,0.08333333333333333,DHL
7843989526,-0.1734595,51.4821633,1,9,10,0.08333333333333333,DHL
7162259994,-0.1150238,51.5130788,1,16,17,0.08333333333333333,DPD
1104856075,-0.1704054,51.5200579,1,16,17,0.08333333333333333,Royal Mail
84829790,-0.1941576,51.4986677,1,14,15,0.08333333333333333,DHL
78563256,-0.1938624,51.4962513,1,9,10,0.08333333333333333,Amazon
1664711593,-0.1810832,51.5284964,1,11,12,0.08333333333333333,Amazon
