osmid,x,y,demand,start,end,service_dura,company
91915670,-0.1966664,51.508015,1,0,24,0.16666666666666666,DPD
25322896,-0.2128143,51.4762087,1,0,24,0.16666666666666666,Royal Mail
27090012,-0.1804945,51.4873797,1,0,24,0.16666666666666666,DPD
8828901288,-0.2512718,51.5039294,1,0,24,0.16666666666666666,DPD
307847675,-0.2079986,51.4960175,1,0,24,0.16666666666666666,DPD
275480,-0.1860123,51.5164753,1,0,24,0.16666666666666666,Amazon
1619316122,-0.1507593,51.5212256,1,0,24,0.16666666666666666,Amazon
27510693,-0.1856834,51.4803148,1,0,24,0.16666666666666666,DPD
26198787,-0.2443739,51.5176388,1,0,24,0.16666666666666666,DPD
109662,-0.1649293,51.5016731,1,0,24,0.16666666666666666,Royal Mail
27091602,-0.184994,51.4873662,1,0,24,0.16666666666666666,Amazon
26389725,-0.1626069,51.4978312,1,0,24,0.16666666666666666,DHL
33206489,-0.206862,51.4924037,1,0,24,0.16666666666666666,Amazon
254760670,-0.2140328,51.5201441,1,0,24,0.16666666666666666,DPD
21662120,-0.2282512,51.5079056,1,0,24,0.16666666666666666,DPD
8474391787,-0.1827186,51.5317148,1,0,24,0.16666666666666666,Royal Mail
1687077889,-0.1924656,51.5269018,1,0,24,0.16666666666666666,DHL
26966492,-0.1792814,51.4970406,1,0,24,0.16666666666666666,DPD
1348318037,-0.2314541,51.4949938,1,0,24,0.16666666666666666,Royal Mail
13565519,-0.1935611,51.466976,1,0,24,0.16666666666666666,Royal Mail
4210764787,-0.1899514,51.4798052,1,0,24,0.16666666666666666,DPD
255467947,-0.2029824,51.5153527,1,0,24,0.16666666666666666,DHL
5762046151,-0.1998349,51.5092529,1,0,24,0.16666666666666666,Amazon
292596,-0.1921582,51.4656489,1,0,24,0.16666666666666666,DHL
9512915,-0.1314738,51.510432,1,0,24,0.16666666666666666,Royal Mail
1687077654,-0.1884435,51.5251126,1,0,24,0.16666666666666666,DHL
185711778,-0.2301105,51.5041916,1,0,24,0.16666666666666666,DHL
254760296,-0.2215184,51.5213252,1,0,24,0.16666666666666666,Royal Mail
21662039,-0.2245834,51.5080359,1,0,24,0.16666666666666666,Amazon
1231977903,-0.1410315,51.4966897,1,0,24,0.16666666666666666,DPD
20960790,-0.2206267,51.4790318,1,0,24,0.16666666666666666,DHL
33043267,-0.1969367,51.5155722,1,0,24,0.16666666666666666,Amazon
299227,-0.2153634,51.4760169,1,0,24,0.16666666666666666,Royal Mail
26373949,-0.2103119,51.5075056,1,0,24,0.16666666666666666,Amazon
20973273,-0.207899,51.4676182,1,0,24,0.16666666666666666,DPD
20961114,-0.2169551,51.4854496,1,0,24,0.16666666666666666,DHL
776893991,-0.202095,51.48055,1,0,24,0.16666666666666666,Royal Mail
198060,-0.1750933,51.489772,1,0,24,0.16666666666666666,DPD
25322218,-0.2075058,51.4799182,1,0,24,0.16666666666666666,Royal Mail
25689631,-0.2422835,51.5039016,1,0,24,0.16666666666666666,DPD
